   2  , 2420.456 , Ar II, N73
   7  , 8771.860 , Ar II, N73
   5  , 8849.91  , Ar I , M73
   1  , 9075.394 , Ar I , N73
1000 P, 9122.967 , Ar I , N73
  15  , 9194.638 , Ar I , N73
 400  , 9224.499 , Ar I , N73
  11  , 9291.531 , Ar I , N73
  50  , 9354.220 , Ar I , N73
 700 P, 9657.786 , Ar I , N73
 130  , 9784.503 , Ar I , N73
   5  , 10052.06 , Ar I , M73
   1  , 10332.72 , Ar I , M73
  30  , 10467.177, Ar II, N73
  50  , 10470.054, Ar I , N73
   5  , 10506.50 , Ar I , M73
   6  , 10673.565, Ar I , N73
   2  , 10683.034, Ar II, N73
   1  , 10733.87 , Ar I , M73
   1  , 10759.16 , Ar I , M73
   2  , 10812.896, Ar II, N73
   1  , 11106.46 , Ar I , M73
  11  , 11488.109, Ar I , N73
   6  , 11668.710, Ar I , N73
   6  , 12112.326, Ar I , N73
   1  , 12139.738, Ar I , N73
   1  , 12343.393, Ar I , N73
   6  , 12402.827, Ar I , N73
   6  , 12439.321, Ar I , N73
   3  , 12456.12 , Ar I , N73
   6  , 12487.663, Ar I , N73
   4  , 12702.281, Ar I , N73
   1  , 12733.418, Ar I , N73
   6  , 12802.739, Ar I , N73
   1  , 12933.195, Ar I , N73
  14  , 12956.659, Ar I , N73
   6  , 13008.264, Ar I , N73
   6  , 13213.99 , Ar I , N73
   6  , 13228.107, Ar I , N73
   3  , 13230.90 , Ar I , N73
  14  , 13272.64 , Ar I , N73
  30  , 13313.210, Ar I , N73
  30  , 13367.111, Ar I , N73
   1  , 13499.41 , Ar I , N73
  30  , 13504.191, Ar I , N73
   1  , 13599.333, Ar I , N73
  11  , 13622.659, Ar I , N73
   6  , 13678.550, Ar I , N73
  30  , 13718.577, Ar I , N73
   6  , 14093.640, Ar I , N73
   3  , 15046.50 , Ar I , N73
   1  , 15172.69 , Ar I , N73
   1  , 15989.49 , Ar I , N73
   1  , 16519.86 , Ar I , N73
  14  , 16940.58 , Ar I , N73
   1  , 20616.23 , Ar I , N73
   1  , 20986.11 , Ar I , N73
   1  , 23133.20 , Ar I , N73
   1  , 23966.52 , Ar I , N73
